epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,143.479,1.12314,1.02121,1.04861,0.60048,0.42552,0.44398,0.24513,1.74456,1.964,1.39904,0.00073468,0.00073468,0.00073468
136,144.452,1.17617,1.08526,1.0828,0.60534,0.4256,0.44984,0.24029,1.82592,1.91692,1.44331,0.0007327,0.0007327,0.0007327
137,145.457,1.26405,1.08729,1.08968,0.64686,0.40509,0.46854,0.24759,1.81912,1.80545,1.42624,0.00073072,0.00073072,0.00073072
138,146.478,1.17319,1.01935,1.05695,0.65815,0.41179,0.4778,0.26307,1.72947,1.69,1.37749,0.00072874,0.00072874,0.00072874
139,147.505,1.19871,1.03718,1.08114,0.65974,0.41219,0.49145,0.28258,1.63584,1.62597,1.32755,0.00072676,0.00072676,0.00072676
140,148.477,1.18029,1.05304,1.0779,0.63434,0.46331,0.51957,0.29194,1.63908,1.62072,1.33077,0.00072478,0.00072478,0.00072478
141,149.465,1.19219,1.01368,1.07385,0.64386,0.45177,0.52157,0.28409,1.69899,1.61429,1.37257,0.0007228,0.0007228,0.0007228
142,150.473,1.22959,1.05134,1.09295,0.61366,0.48331,0.52444,0.27801,1.74932,1.61025,1.4102,0.00072082,0.00072082,0.00072082
143,151.428,1.13062,1.03801,1.06516,0.61365,0.46729,0.52522,0.27605,1.76221,1.64355,1.41435,0.00071884,0.00071884,0.00071884
144,152.43,1.12582,1.03269,1.05048,0.64999,0.4655,0.52779,0.2878,1.70212,1.67138,1.36304,0.00071686,0.00071686,0.00071686
145,153.44,1.17931,1.03825,1.05494,0.63464,0.46447,0.52614,0.29241,1.66795,1.69726,1.34138,0.00071488,0.00071488,0.00071488
146,154.431,1.12358,1.02845,1.05459,0.64323,0.45138,0.50629,0.28056,1.68801,1.75364,1.35733,0.0007129,0.0007129,0.0007129
147,155.391,1.16596,1.01788,1.04369,0.6286,0.45204,0.50399,0.27667,1.70629,1.77403,1.3766,0.00071092,0.00071092,0.00071092
